Denominación Distrito,Latitud,Longitud,DENOMINACIÓN LÍNEA DE INVERSIÓN,Total previsto,anyo,Denominacion Barrio,coord_x_UTM,coord_y_UTM
USERA,40.38791,-3.70469,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","926275,27",2024,Moscardó,440189.3861556093,4471051.213575794
CIUDAD LINEAL,40.425008,-3.631938,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","1400000,00",2024,Pueblo Nuevo,446393.701361703,4475122.387590063
VICÁLVARO,40.4074226,-3.5598948,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","1375000,00",2024,El Cañaveral,452492.6780492692,4473129.205754402
VILLA DE VALLECAS,40.3580939867763,-3.660736171381618,SECTORES PRODUCTIVOS,"2149563,00",2024,Casco Histórico de Vallecas,443895.2749426788,4467712.873228348
VILLA DE VALLECAS,40.3616249,-3.664242,SECTORES PRODUCTIVOS,"1800000,00",2024,Casco Histórico de Vallecas,443600.5268350453,4468107.027866349
VILLA DE VALLECAS,40.36258984193834,-3.6636868191211662,SECTORES PRODUCTIVOS,"6103426,00",2024,Casco Histórico de Vallecas,443648.47000716126,4468213.781090548
VILLA DE VALLECAS,40.36073459765807,-3.659438387223176,SECTORES PRODUCTIVOS,"14487905,00",2024,Casco Histórico de Vallecas,444007.6584354788,4468005.154473085
VILLA DE VALLECAS,40.3585575,-3.6675801,SECTORES PRODUCTIVOS,"1300000,00",2024,Casco Histórico de Vallecas,443314.5241448725,4467768.684876375
VILLA DE VALLECAS,40.3655779,-3.6680694,SECTORES PRODUCTIVOS,"6218084,00",2024,Entrevías,443278.86102762783,4468548.2517608395
VILLA DE VALLECAS,40.36085563,-3.66389155,SECTORES PRODUCTIVOS,"6060000,00",2024,Casco Histórico de Vallecas,443629.64230246213,4468021.416782344
VILLA DE VALLECAS,40.36072482,-3.65816235,SECTORES PRODUCTIVOS,"4550000,00",2024,Casco Histórico de Vallecas,444115.99835529935,4468003.262348965
VILLA DE VALLECAS,40.36368387,-3.65801895,SECTORES PRODUCTIVOS,"8200000,00",2024,Casco Histórico de Vallecas,444130.617408339,4468331.621535485
VILLA DE VALLECAS,40.36194261,-3.65625942,SECTORES PRODUCTIVOS,"3100000,00",2024,Casco Histórico de Vallecas,444278.5783708048,4468137.234746925
