Barrio,anyo,Indicador,valor_indicador
VENTAS,2021,num_hosteleria,197.0
LOS JERONIMOS,2021,num_hosteleria,93.0
AEROPUERTO,2021,num_hosteleria,88.0
VISTA ALEGRE,2021,num_hosteleria,315.0
ORCASITAS,2021,num_hosteleria,64.0
LEGAZPI,2021,num_hosteleria,102.0
SAN DIEGO,2021,num_hosteleria,196.0
FUENTELARREINA,2021,num_hosteleria,3.0
EL PARDO,2021,num_hosteleria,43.0
ADELFAS,2021,num_hosteleria,62.0
CAMPAMENTO,2021,num_hosteleria,57.0
LA PAZ,2021,num_hosteleria,100.0
ENTREVIAS,2021,num_hosteleria,148.0
CASCO H.VICALVARO,2021,num_hosteleria,152.0
PROSPERIDAD,2021,num_hosteleria,224.0
BERRUGUETE,2021,num_hosteleria,115.0
ALMAGRO,2021,num_hosteleria,256.0
LOS CARMENES,2021,num_hosteleria,63.0
LUCERO,2021,num_hosteleria,141.0
GAZTAMBIDE,2021,num_hosteleria,252.0
COSTILLARES,2021,num_hosteleria,69.0
ARAPILES,2021,num_hosteleria,192.0
SAN ANDRES,2021,num_hosteleria,209.0
CUATRO VIENTOS,2021,num_hosteleria,16.0
ROSAS,2021,num_hosteleria,224.0
TIMON,2021,num_hosteleria,58.0
PEÑAGRANDE,2021,num_hosteleria,0.0
SAN CRISTOBAL,2021,num_hosteleria,56.0
PALOMERAS SURESTE,2021,num_hosteleria,147.0
CORTES,2021,num_hosteleria,483.0
CANILLAS,2021,num_hosteleria,175.0
ATALAYA,2021,num_hosteleria,7.0
PORTAZGO,2021,num_hosteleria,124.0
FONTARRON,2021,num_hosteleria,44.0
CONCEPCION,2021,num_hosteleria,156.0
ARAVACA,2021,num_hosteleria,80.0
PEÑA GRANDE,2021,num_hosteleria,125.0
HORCAJO,2021,num_hosteleria,11.0
ABRANTES,2021,num_hosteleria,110.0
ALUCHE,2021,num_hosteleria,309.0
VALDEBERNARDO,2021,num_hosteleria,45.0
ALMENARA,2021,num_hosteleria,105.0
AMPOSTA,2021,num_hosteleria,48.0
CANILLEJAS,2021,num_hosteleria,150.0
EL SALVADOR,2021,num_hosteleria,48.0
EL VISO,2021,num_hosteleria,151.0
FUENTE DEL BERRO,2021,num_hosteleria,138.0
VALLEHERMOSO,2021,num_hosteleria,153.0
BUENAVISTA,2021,num_hosteleria,221.0
SAN JUAN BAUTISTA,2021,num_hosteleria,69.0
COMILLAS,2021,num_hosteleria,117.0
GOYA,2021,num_hosteleria,346.0
CASTELLANA,2021,num_hosteleria,230.0
LAS AGUILAS,2021,num_hosteleria,157.0
ENSANCHE DE VALLECAS,2021,num_hosteleria,119.0
BELLAS VISTAS,2021,num_hosteleria,161.0
PACIFICO,2021,num_hosteleria,168.0
CASTILLA,2021,num_hosteleria,81.0
SAN PASCUAL,2021,num_hosteleria,84.0
QUINTANA,2021,num_hosteleria,161.0
JUSTICIA,2021,num_hosteleria,524.0
ATOCHA,2021,num_hosteleria,13.0
HISPANOAMERICA,2021,num_hosteleria,243.0
VALDEZARZA,2021,num_hosteleria,71.0
PIOVERA,2021,num_hosteleria,57.0
GUINDALERA,2021,num_hosteleria,249.0
CHOPERA,2021,num_hosteleria,102.0
PUEBLO NUEVO,2021,num_hosteleria,279.0
ARCOS,2021,num_hosteleria,55.0
PALOMERAS BAJAS,2021,num_hosteleria,112.0
RIOS ROSAS,2021,num_hosteleria,304.0
MARROQUINA,2021,num_hosteleria,127.0
SOL,2021,num_hosteleria,494.0
CIUDAD JARDIN,2021,num_hosteleria,163.0
PALOMAS,2021,num_hosteleria,28.0
SAN ISIDRO,2021,num_hosteleria,158.0
PINAR DEL REY,2021,num_hosteleria,185.0
PALACIO,2021,num_hosteleria,623.0
CASA DE CAMPO,2021,num_hosteleria,119.0
ALAMEDA DE OSUNA,2021,num_hosteleria,57.0
ORCASUR,2021,num_hosteleria,39.0
IBIZA,2021,num_hosteleria,213.0
ZOFIO,2021,num_hosteleria,48.0
HELLIN,2021,num_hosteleria,9.0
PUERTA DEL ANGEL,2021,num_hosteleria,231.0
CIUDAD UNIVERSITARIA,2021,num_hosteleria,150.0
EL CAÑAVERAL,2021,num_hosteleria,13.0
LISTA,2021,num_hosteleria,222.0
LOS ANGELES,2021,num_hosteleria,105.0
OPAÑEL,2021,num_hosteleria,165.0
EL PLANTIO,2021,num_hosteleria,44.0
NUMANCIA,2021,num_hosteleria,187.0
VALDEACEDERAS,2021,num_hosteleria,99.0
SANTA EUGENIA,2021,num_hosteleria,61.0
ESTRELLA,2021,num_hosteleria,44.0
CASCO H.VALLECAS,2021,num_hosteleria,214.0
VINATEROS,2021,num_hosteleria,33.0
CORRALEJOS,2021,num_hosteleria,55.0
APOSTOL SANTIAGO,2021,num_hosteleria,44.0
VALDERRIVAS,2021,num_hosteleria,16.0
ACACIAS,2021,num_hosteleria,176.0
COLINA,2021,num_hosteleria,33.0
NUEVA ESPAÑA,2021,num_hosteleria,147.0
DELICIAS,2021,num_hosteleria,148.0
RECOLETOS,2021,num_hosteleria,283.0
VALVERDE,2021,num_hosteleria,326.0
EL GOLOSO,2021,num_hosteleria,97.0
PUERTA BONITA,2021,num_hosteleria,123.0
NIÑO JESUS,2021,num_hosteleria,68.0
SIMANCAS,2021,num_hosteleria,214.0
SAN FERMIN,2021,num_hosteleria,67.0
