Barrio,anyo,anyo_timestamp,Indicador,valor_indicador
El Goloso,2023,2023-01-01,Inversion,10212185.15
El Pardo,2023,2023-01-01,Inversion,0.0
El Plantío,2023,2023-01-01,Inversion,0.0
El Salvador,2023,2023-01-01,Inversion,0.0
El Viso,2023,2023-01-01,Inversion,9333931.31
Embajadores,2023,2023-01-01,Inversion,4436625.3100000005
Ensanche de Vallecas,2023,2023-01-01,Inversion,32522747.61
Entrevías,2023,2023-01-01,Inversion,31634305.07
Estrella,2023,2023-01-01,Inversion,0.0
Fontarrón,2023,2023-01-01,Inversion,1487510.12
Fuente del Berro,2023,2023-01-01,Inversion,0.0
Fuentelarreina,2023,2023-01-01,Inversion,0.0
Gaztambide,2023,2023-01-01,Inversion,0.0
Goya,2023,2023-01-01,Inversion,0.0
Guindalera,2023,2023-01-01,Inversion,28893770.04
Hellín,2023,2023-01-01,Inversion,6994980.7
Hispanoamérica,2023,2023-01-01,Inversion,0.0
Horcajo,2023,2023-01-01,Inversion,0.0
Ibiza,2023,2023-01-01,Inversion,0.0
Imperial,2023,2023-01-01,Inversion,68542278.56
Justicia,2023,2023-01-01,Inversion,0.0
La Concepción,2023,2023-01-01,Inversion,2638821.85
La Paz,2023,2023-01-01,Inversion,18607027.19
Legazpi,2023,2023-01-01,Inversion,17637857.99
Lista,2023,2023-01-01,Inversion,0.0
Los Cármenes,2023,2023-01-01,Inversion,0.0
Los Jerónimos,2023,2023-01-01,Inversion,0.0
Los Rosales,2023,2023-01-01,Inversion,13526313.79
Lucero,2023,2023-01-01,Inversion,17362799.79
Marroquina,2023,2023-01-01,Inversion,1320766.33
Media Legua,2023,2023-01-01,Inversion,0.0
Mirasierra,2023,2023-01-01,Inversion,13629765.98
Moscardó,2023,2023-01-01,Inversion,1000000.0
Niño Jesús,2023,2023-01-01,Inversion,0.0
Nueva España,2023,2023-01-01,Inversion,3963927.48
Numancia,2023,2023-01-01,Inversion,0.0
Opañel,2023,2023-01-01,Inversion,0.0
Orcasitas,2023,2023-01-01,Inversion,4815422.43
Orcasur,2023,2023-01-01,Inversion,5119065.0
Pacífico,2023,2023-01-01,Inversion,38764989.11
Palacio,2023,2023-01-01,Inversion,4929451.94
Palomas,2023,2023-01-01,Inversion,0.0
Palomeras Bajas,2023,2023-01-01,Inversion,35142064.63
Palomeras Sureste,2023,2023-01-01,Inversion,13538876.0
Palos de la Frontera,2023,2023-01-01,Inversion,0.0
Pavones,2023,2023-01-01,Inversion,1957566.38
Peñagrande,2023,2023-01-01,Inversion,0.0
Pilar,2023,2023-01-01,Inversion,0.0
Pinar del Rey,2023,2023-01-01,Inversion,0.0
Piovera,2023,2023-01-01,Inversion,609127.72
Portazgo,2023,2023-01-01,Inversion,0.0
Pradolongo,2023,2023-01-01,Inversion,2526173.08
Prosperidad,2023,2023-01-01,Inversion,0.0
Pueblo Nuevo,2023,2023-01-01,Inversion,7741111.3
Puerta Bonita,2023,2023-01-01,Inversion,2154942.74
Puerta del Ángel,2023,2023-01-01,Inversion,0.0
Quintana,2023,2023-01-01,Inversion,7164973.74
Recoletos,2023,2023-01-01,Inversion,7313290.73
Rejas,2023,2023-01-01,Inversion,0.0
Rosas,2023,2023-01-01,Inversion,16120233.08
Ríos Rosas,2023,2023-01-01,Inversion,0.0
San Cristóbal,2023,2023-01-01,Inversion,0.0
San Diego,2023,2023-01-01,Inversion,57646385.37
San Fermín,2023,2023-01-01,Inversion,25008216.01
San Isidro,2023,2023-01-01,Inversion,0.0
San Juan Bautista,2023,2023-01-01,Inversion,0.0
San Pascual,2023,2023-01-01,Inversion,12037427.05
Santa Eugenia,2023,2023-01-01,Inversion,3604628.04
Simancas,2023,2023-01-01,Inversion,0.0
Sol,2023,2023-01-01,Inversion,16807389.08
Timón,2023,2023-01-01,Inversion,6556769.44
Trafalgar,2023,2023-01-01,Inversion,0.0
Universidad,2023,2023-01-01,Inversion,5050434.51
Valdeacederas,2023,2023-01-01,Inversion,33325364.45
Valdebernardo,2023,2023-01-01,Inversion,6032861.21
Valdefuentes,2023,2023-01-01,Inversion,23587422.76
Valdemarín,2023,2023-01-01,Inversion,0.0
Valderrivas,2023,2023-01-01,Inversion,0.0
Valdezarza,2023,2023-01-01,Inversion,0.0
Vallehermoso,2023,2023-01-01,Inversion,0.0
Valverde,2023,2023-01-01,Inversion,154409612.64
Ventas,2023,2023-01-01,Inversion,139195909.43
